t_monotonic,ax,ay,az,gx,gy,gz
233249.886348,0.928,0.337,0.612,-59.36,-79.44,87.92
233249.900577,0.912,0.346,0.558,-51.73,-76.14,82.89
233249.906994,0.838,0.368,0.557,-48.4,-71.9,81.12
233249.916303,0.832,0.397,0.581,-55.3,-67.63,83.74
233249.926216,0.855,0.404,0.566,-61.37,-64.12,83.53
233249.940756,0.891,0.359,0.544,-64.42,-60.49,82.77
233249.946875,0.904,0.281,0.507,-66.19,-56.83,76.88
233249.955774,0.891,0.215,0.49,-69.28,-53.32,69.46
233249.966409,0.883,0.164,0.504,-74.68,-49.47,61.25
233249.979688,0.866,0.148,0.499,-83.62,-47.52,57.5
233249.986231,0.872,0.178,0.516,-93.69,-45.59,58.69
233249.995879,0.89,0.198,0.53,-95.58,-43.21,57.59
233250.006403,0.891,0.162,0.538,-91.04,-40.41,53.13
233250.020026,0.866,0.11,0.549,-84.02,-36.65,39.8
233250.026497,0.868,0.033,0.506,-76.75,-31.98,27.92
233250.035712,0.851,-0.007,0.475,-73.82,-27.25,15.02
233250.046059,0.825,-0.019,0.469,-71.11,-21.42,1.4
233250.056735,0.813,-0.042,0.474,-67.38,-14.53,-7.75
233250.069910,0.806,-0.063,0.479,-62.96,-6.96,-17.58
233250.076043,0.823,-0.066,0.477,-56.67,1.37,-27.92
233250.087090,0.825,-0.066,0.475,-49.71,8.61,-37.17
233250.096362,0.806,-0.074,0.47,-43.24,15.99,-47.21
233250.110062,0.774,-0.08,0.457,-38.21,23.8,-57.71
233250.117202,0.72,-0.084,0.46,-35.92,32.2,-69.52
233250.126331,0.642,-0.075,0.469,-35.46,41.29,-81.03
233250.137779,0.576,-0.024,0.477,-35.77,51.24,-90.37
233250.150111,0.544,0.026,0.46,-34.73,62.75,-97.17
233250.157687,0.546,0.044,0.447,-29.6,74.83,-104.65
233250.166479,0.484,0.08,0.455,-21.09,85.06,-113.5
233250.178232,0.395,0.133,0.462,-10.9,95.1,-121.13
233250.191493,0.35,0.154,0.472,-1.56,105.38,-127.72
233250.197295,0.272,0.185,0.501,5.58,114.69,-136.33
233250.206863,0.163,0.257,0.533,11.72,123.11,-142.83
233250.220023,0.062,0.318,0.571,16.91,131.99,-146.34
233250.227325,0.008,0.336,0.607,21.64,141.54,-149.51
233250.237231,-0.042,0.36,0.643,24.9,149.85,-151.46
233250.250373,-0.128,0.424,0.662,26.06,156.56,-151.52
233250.256589,-0.182,0.447,0.655,25.64,161.99,-150.46
233250.266504,-0.178,0.416,0.65,23.44,166.3,-151.77
233250.279689,-0.18,0.356,0.668,19.17,169.5,-155.77
233250.286862,-0.225,0.275,0.713,10.83,170.51,-159.49
233250.296337,-0.305,0.243,0.747,-2.93,171.12,-163.61
233250.309773,-0.359,0.273,0.779,-19.41,170.54,-164.19
233250.315894,-0.395,0.339,0.827,-34.64,168.19,-163.15
233250.327566,-0.432,0.401,0.868,-44.4,164.59,-161.99
233250.341312,-0.453,0.442,0.891,-48.28,160.07,-161.53
233250.347026,-0.437,0.447,0.908,-47.36,154.42,-161.14
233250.356310,-0.411,0.417,0.916,-43.61,147.62,-160.99
233250.370723,-0.417,0.39,0.915,-39.8,139.1,-159.98
233250.376564,-0.45,0.4,0.908,-35.16,128.94,-156.87
233250.386220,-0.441,0.41,0.906,-26.06,120.98,-151.77
233250.399861,-0.416,0.406,0.921,-15.17,113.99,-146.55
233250.406946,-0.402,0.381,0.946,-5.04,107.12,-140.6
233250.415912,-0.385,0.335,0.949,1.95,101.14,-134.4
233250.427530,-0.397,0.328,0.949,1.46,95.22,-128.36
233250.441209,-0.395,0.341,0.96,-1.46,90.95,-120.33
233250.445826,-0.37,0.347,0.955,-4.39,87.34,-110.9
233250.457251,-0.344,0.345,0.966,-8.67,84.23,-101.14
233250.466745,-0.312,0.326,1.01,-13.52,81.55,-90.55
233250.480459,-0.276,0.298,1.061,-18.89,78.34,-79.17
233250.486949,-0.253,0.282,1.075,-25.18,73.89,-67.72
233250.496137,-0.231,0.269,1.094,-31.86,68.48,-55.36
233250.507801,-0.221,0.258,1.127,-39.31,62.01,-42.97
233250.521170,-0.223,0.273,1.167,-47.64,54.11,-31.46
233250.527180,-0.232,0.296,1.202,-53.38,46.78,-20.6
233250.537484,-0.246,0.295,1.223,-53.9,41.02,-11.57
233250.547939,-0.261,0.289,1.234,-51.06,36.38,-5.37
233250.560222,-0.27,0.294,1.259,-46.02,32.32,-0.52
233250.566592,-0.274,0.293,1.267,-39.16,28.26,2.81
233250.576673,-0.275,0.301,1.259,-30.52,23.99,4.46
233250.586451,-0.271,0.283,1.248,-19.68,20.42,5.92
233250.596549,-0.268,0.257,1.234,-8.85,17.0,6.53
233250.611203,-0.256,0.228,1.225,1.22,13.58,6.07
233250.617976,-0.258,0.202,1.213,9.61,10.16,4.09
233250.625872,-0.268,0.199,1.208,14.74,6.62,2.29
233250.637772,-0.273,0.207,1.191,18.74,3.72,1.46
233250.648075,-0.272,0.204,1.167,22.37,1.65,1.01
233250.657073,-0.264,0.196,1.144,24.63,0.12,0.4
233250.669949,-0.264,0.194,1.116,25.39,-1.71,-0.46
233250.677041,-0.262,0.2,1.093,25.03,-3.48,-1.19
233250.685671,-0.26,0.199,1.074,24.05,-5.13,-1.46
233250.696262,-0.266,0.198,1.044,22.1,-6.35,-1.31
233250.706090,-0.258,0.197,1.02,19.5,-7.08,-1.1
233250.717440,-0.254,0.197,1.009,16.39,-8.15,-0.73
233250.731576,-0.256,0.198,0.994,12.73,-9.28,-0.52
233250.736882,-0.256,0.198,0.972,8.85,-9.89,-0.34
233250.746337,-0.255,0.202,0.962,5.37,-10.16,0.12
233250.756171,-0.256,0.213,0.954,1.89,-10.77,0.58
233250.767243,-0.251,0.211,0.943,-0.67,-10.56,1.01
233250.777838,-0.245,0.198,0.934,-2.9,-10.04,1.04
233250.791219,-0.249,0.195,0.922,-5.83,-10.16,0.4
233250.796870,-0.257,0.212,0.914,-8.94,-10.53,0.06
233250.807058,-0.263,0.229,0.903,-10.16,-10.19,0.27
233250.816460,-0.263,0.25,0.887,-8.82,-9.4,0.24
233250.826830,-0.263,0.299,0.895,-5.52,-9.16,1.37
233250.836462,-0.261,0.365,0.907,1.4,-9.61,4.55
233250.850161,-0.249,0.395,0.907,13.58,-9.98,9.22
233250.856960,-0.235,0.373,0.899,28.26,-10.25,13.52
233250.866222,-0.227,0.326,0.887,41.23,-10.93,16.51
233250.876597,-0.231,0.287,0.879,49.53,-12.21,18.37
233250.889869,-0.241,0.267,0.857,52.67,-13.76,20.14
233250.896379,-0.249,0.288,0.837,51.21,-15.08,21.91
233250.907193,-0.25,0.383,0.842,46.82,-17.15,27.22
233250.917071,-0.253,0.488,0.862,47.46,-20.2,38.39
233250.931331,-0.267,0.554,0.87,55.18,-24.23,53.25
233250.937072,-0.294,0.587,0.861,64.64,-30.4,72.27
233250.947683,-0.344,0.575,0.84,73.67,-37.14,92.53
233250.956415,-0.397,0.533,0.84,81.24,-43.37,109.13
233250.970148,-0.467,0.5,0.837,82.49,-51.36,125.06
233250.975949,-0.544,0.481,0.821,75.78,-60.27,142.52
233250.986265,-0.596,0.472,0.816,67.54,-67.63,157.99
233250.997785,-0.61,0.446,0.824,62.38,-73.55,169.8
233251.010316,-0.592,0.396,0.83,56.55,-78.52,178.29
233251.016212,-0.536,0.34,0.839,45.87,-81.79,183.48
233251.026978,-0.467,0.305,0.856,28.99,-84.08,184.15
233251.039693,-0.388,0.313,0.898,11.6,-85.45,181.01
233251.045731,-0.309,0.313,0.949,-0.89,-86.46,176.52
233251.056065,-0.258,0.305,0.996,-10.74,-88.6,169.99
233251.066653,-0.215,0.315,1.033,-17.49,-92.26,160.86
233251.080133,-0.203,0.357,1.037,-20.81,-97.23,151.25
233251.087244,-0.18,0.39,1.018,-21.64,-101.08,143.62
233251.096464,-0.128,0.412,0.996,-19.38,-104.34,136.57
233251.110907,-0.06,0.437,0.955,-16.45,-107.43,130.86
233251.116230,0.069,0.452,0.978,-10.1,-107.36,125.83
233251.126719,0.171,0.438,1.007,1.07,-106.63,119.45
233251.141047,0.193,0.388,1.009,12.3,-106.72,110.93
233251.146982,0.176,0.353,0.999,18.28,-107.03,100.8
233251.157756,0.155,0.364,0.971,17.67,-107.33,91.89
233251.170877,0.173,0.372,0.912,15.59,-106.81,85.63
233251.177100,0.226,0.39,0.852,15.2,-104.74,80.14
233251.187150,0.262,0.445,0.824,15.05,-102.94,76.33
233251.197031,0.286,0.459,0.798,15.78,-100.77,75.38
233251.211080,0.338,0.402,0.785,18.92,-97.17,72.12
233251.217123,0.366,0.359,0.762,17.3,-95.19,66.04
233251.227487,0.395,0.346,0.75,10.01,-92.78,61.22
233251.237829,0.474,0.319,0.781,6.23,-88.66,56.34
233251.251006,0.521,0.303,0.773,3.85,-86.79,50.42
233251.257688,0.55,0.291,0.752,-1.07,-84.9,45.32
233251.266093,0.598,0.279,0.772,-4.24,-81.51,38.64
233251.276316,0.592,0.301,0.744,-11.41,-81.03,33.36
233251.291630,0.597,0.302,0.728,-19.23,-79.56,30.21
233251.296475,0.604,0.297,0.705,-21.91,-76.85,25.18
233251.306020,0.6,0.29,0.648,-23.96,-74.07,21.88
233251.316585,0.624,0.266,0.603,-22.86,-69.67,18.4
233251.330564,0.672,0.266,0.59,-17.73,-64.42,13.64
233251.337120,0.742,0.276,0.619,-9.95,-59.85,11.66
233251.346975,0.78,0.267,0.636,3.54,-50.78,12.6
233251.356185,0.8,0.242,0.663,4.43,-46.42,12.18
233251.366897,0.816,0.228,0.69,0.03,-43.31,13.03
233251.381136,0.819,0.225,0.696,-5.25,-39.74,12.6
233251.386043,0.844,0.202,0.698,-9.49,-36.59,9.89
233251.396008,0.859,0.188,0.704,-17.0,-35.37,7.51
233251.407730,0.862,0.152,0.722,-22.92,-33.75,3.91
233251.417139,0.848,0.164,0.716,-28.53,-34.15,0.98
233251.431092,0.831,0.188,0.694,-37.05,-35.92,1.37
233251.436720,0.858,0.173,0.689,-38.48,-35.55,1.8
233251.447168,0.872,0.164,0.7,-35.34,-35.43,1.98
233251.456385,0.846,0.181,0.699,-35.92,-37.87,4.39
233251.467214,0.837,0.159,0.693,-34.18,-38.7,6.2
233251.481280,0.844,0.108,0.657,-27.68,-37.84,4.52
233251.487533,0.858,0.078,0.608,-21.97,-35.49,2.08
233251.496134,0.885,0.074,0.589,-17.18,-32.62,2.35
233251.507667,0.904,0.061,0.576,-12.09,-29.6,4.46
233251.517617,0.908,0.027,0.553,-8.94,-26.43,5.68
233251.531434,0.904,-0.008,0.526,-7.63,-22.95,4.82
233251.536757,0.908,-0.053,0.489,-7.75,-18.25,2.62
233251.546236,0.91,-0.086,0.484,-9.0,-12.91,-1.16
233251.557398,0.854,-0.072,0.487,-16.48,-10.5,-4.85
233251.566712,0.796,-0.019,0.507,-31.68,-9.52,-7.02
233251.580491,0.78,0.064,0.533,-45.29,-7.39,-9.89
233251.586994,0.777,0.153,0.55,-52.22,-5.01,-13.76
233251.598028,0.755,0.228,0.554,-51.48,-2.56,-16.45
233251.607533,0.733,0.306,0.552,-45.5,0.21,-16.57
233251.617309,0.721,0.398,0.578,-35.98,2.04,-13.86
233251.630207,0.708,0.495,0.608,-25.67,2.11,-9.13
233251.636219,0.701,0.586,0.619,-16.02,1.04,-3.63
233251.645480,0.704,0.64,0.609,-3.81,0.21,0.98
233251.656739,0.711,0.64,0.593,12.88,0.06,3.66
233251.666486,0.703,0.6,0.58,30.4,-1.28,5.31
233251.678065,0.682,0.54,0.597,44.04,-3.3,8.12
233251.691324,0.657,0.475,0.628,49.99,-5.74,11.47
233251.696973,0.634,0.421,0.633,46.02,-9.4,14.89
233251.707422,0.632,0.375,0.622,36.04,-12.02,17.55
233251.716729,0.639,0.347,0.621,24.54,-13.92,18.71
233251.731295,0.649,0.315,0.612,13.28,-15.93,19.75
233251.736547,0.66,0.274,0.61,4.97,-16.94,19.04
233251.746885,0.662,0.252,0.625,-0.27,-18.22,17.06
233251.757923,0.658,0.242,0.648,-3.05,-19.44,15.08
233251.768201,0.651,0.23,0.659,-4.55,-20.66,13.67
233251.782217,0.647,0.213,0.666,-5.13,-21.03,11.99
233251.786157,0.648,0.207,0.695,-4.55,-21.03,9.46
233251.795680,0.644,0.207,0.708,-5.01,-21.82,7.54
233251.806082,0.642,0.213,0.723,-5.49,-22.22,5.95
233251.816288,0.645,0.213,0.733,-3.42,-22.13,3.75
233251.826533,0.646,0.21,0.744,0.7,-21.97,2.2
233251.840537,0.651,0.194,0.73,5.89,-21.09,0.98
233251.847140,0.664,0.175,0.719,11.54,-19.44,-0.15
233251.856799,0.675,0.162,0.729,15.23,-18.01,-0.15
233251.866342,0.682,0.153,0.735,15.72,-16.82,0.55
233251.878207,0.691,0.143,0.742,15.23,-15.41,0.21
233251.891663,0.696,0.133,0.732,13.34,-14.07,-0.61
233251.896137,0.705,0.125,0.723,7.78,-12.73,-1.16
233251.905850,0.714,0.124,0.719,0.7,-11.38,-1.98
233251.916243,0.717,0.136,0.718,-6.1,-9.92,-2.69
233251.926545,0.713,0.164,0.722,-12.82,-8.76,-2.17
233251.941565,0.718,0.186,0.717,-18.19,-7.87,-0.82
233251.946484,0.73,0.193,0.704,-19.96,-6.26,-0.21
233251.955547,0.735,0.193,0.699,-19.9,-4.61,-0.58
233251.966103,0.726,0.204,0.69,-21.52,-4.0,-0.52
233251.976875,0.729,0.209,0.689,-23.99,-3.3,-0.21
233251.986882,0.735,0.205,0.693,-25.18,-2.66,-1.04
233251.999884,0.727,0.212,0.689,-27.47,-2.78,-1.95
233252.005496,0.722,0.23,0.685,-30.64,-3.27,-1.62
233252.015744,0.725,0.245,0.676,-33.08,-3.97,-0.76
233252.026300,0.727,0.262,0.676,-34.73,-4.91,-0.18
233252.036359,0.711,0.291,0.674,-37.45,-6.47,0.61
233252.046561,0.7,0.319,0.68,-40.96,-8.09,2.08
233252.061077,0.695,0.347,0.681,-43.89,-9.92,3.3
233252.067250,0.689,0.373,0.686,-45.84,-11.23,4.88
233252.075659,0.674,0.393,0.681,-46.11,-12.7,7.26
233252.086269,0.661,0.416,0.691,-46.27,-14.13,10.9
233252.097370,0.645,0.457,0.69,-47.46,-15.41,15.47
233252.110696,0.639,0.487,0.705,-48.4,-17.03,20.81
233252.117064,0.644,0.491,0.699,-44.13,-17.52,24.17
233252.126404,0.652,0.474,0.675,-38.24,-17.55,27.13
233252.136719,0.661,0.449,0.64,-34.42,-17.85,30.0
233252.150974,0.677,0.402,0.593,-31.68,-17.46,31.68
233252.157604,0.694,0.354,0.55,-26.25,-16.21,31.16
233252.166642,0.701,0.302,0.523,-18.34,-13.95,30.95
233252.178447,0.707,0.234,0.497,-11.26,-11.99,30.98
233252.191652,0.713,0.17,0.458,-8.45,-10.1,29.27
233252.196478,0.722,0.113,0.42,-4.79,-6.99,24.87
233252.205859,0.733,0.05,0.375,2.78,-2.29,18.52
233252.216394,0.72,0.005,0.348,10.62,3.08,11.17
233252.226781,0.696,-0.051,0.369,15.72,8.55,4.67
233252.241961,0.702,-0.135,0.385,20.33,14.34,-0.7
233252.246687,0.739,-0.215,0.4,23.87,20.42,-7.02
233252.256434,0.794,-0.281,0.415,26.37,25.54,-14.19
233252.266496,0.852,-0.325,0.411,25.94,28.32,-19.65
233252.281305,0.887,-0.335,0.424,23.96,30.12,-25.36
233252.287314,0.908,-0.3,0.451,22.19,31.5,-31.28
233252.295994,0.929,-0.207,0.494,18.74,31.04,-34.97
233252.306792,0.951,-0.071,0.57,14.95,29.42,-36.5
233252.321155,0.972,0.068,0.626,12.91,25.76,-35.19
233252.327823,0.995,0.173,0.654,14.92,21.36,-31.43
233252.336051,1.018,0.248,0.661,20.87,17.09,-25.27
233252.347935,1.043,0.294,0.641,29.69,12.76,-16.24
233252.361018,1.063,0.303,0.608,42.12,9.16,-6.29
233252.367247,1.072,0.271,0.583,59.3,6.71,2.87
233252.377419,1.057,0.233,0.578,77.97,4.15,10.44
233252.386652,1.031,0.192,0.592,90.7,0.92,17.7
233252.396837,1.0,0.158,0.64,93.11,-2.78,23.13
233252.411743,0.954,0.16,0.686,77.33,-8.76,27.16
233252.417541,0.915,0.217,0.739,47.46,-15.11,30.61
233252.425815,0.881,0.312,0.773,12.82,-21.91,33.94
233252.437464,0.849,0.408,0.791,-15.44,-27.28,37.97
233252.449821,0.815,0.472,0.803,-32.23,-32.2,42.48
233252.456432,0.761,0.518,0.783,-38.85,-36.62,46.36
233252.466159,0.701,0.535,0.768,-36.19,-39.52,49.59
233252.478696,0.635,0.516,0.735,-28.47,-41.41,51.64
233252.489851,0.578,0.462,0.706,-20.57,-41.6,51.88
233252.496316,0.533,0.401,0.687,-14.62,-40.68,50.81
233252.505770,0.506,0.333,0.679,-9.83,-38.33,49.93
233252.516158,0.488,0.254,0.655,-3.02,-34.85,47.64
233252.526633,0.473,0.17,0.626,3.57,-30.15,43.58
233252.539954,0.466,0.103,0.61,6.26,-24.81,38.21
233252.546578,0.461,0.067,0.605,6.07,-18.98,31.89
233252.555944,0.471,0.044,0.592,3.72,-13.09,25.45
233252.567000,0.498,0.018,0.579,1.37,-6.96,18.49
233252.576805,0.525,-0.007,0.58,-0.55,-1.1,11.11
233252.591640,0.554,-0.03,0.591,-2.29,4.43,3.23
233252.595549,0.579,-0.032,0.617,-2.62,9.22,-4.36
233252.605435,0.607,-0.007,0.649,-2.9,12.18,-9.74
233252.616118,0.645,0.031,0.676,-2.66,13.52,-13.37
233252.626318,0.688,0.071,0.69,-1.83,13.82,-16.79
233252.638173,0.735,0.1,0.706,-0.95,13.64,-21.15
233252.651757,0.775,0.115,0.699,-1.4,12.97,-26.22
233252.657773,0.789,0.123,0.686,-4.61,12.02,-31.46
233252.666297,0.79,0.133,0.668,-9.49,11.41,-35.8
233252.677258,0.794,0.128,0.668,-13.82,10.9,-37.72
233252.691313,0.802,0.109,0.658,-18.1,9.77,-37.72
233252.696080,0.814,0.079,0.638,-21.67,8.3,-37.42
233252.705706,0.832,0.054,0.615,-23.38,6.84,-37.66
233252.716096,0.855,0.035,0.603,-23.83,5.92,-38.51
233252.726873,0.878,0.024,0.589,-23.19,5.43,-39.34
233252.740052,0.888,0.02,0.576,-22.22,4.67,-39.22
233252.746689,0.892,0.031,0.567,-21.97,3.72,-38.0
233252.756001,0.898,0.067,0.557,-22.0,2.84,-35.34
233252.766400,0.911,0.109,0.559,-19.14,2.47,-31.01
233252.778331,0.917,0.157,0.559,-13.64,1.71,-26.06
233252.791165,0.918,0.198,0.545,-5.16,1.46,-20.91
233252.797108,0.926,0.217,0.52,6.16,1.5,-15.29
233252.805975,0.934,0.211,0.498,17.94,1.46,-10.28
233252.819184,0.943,0.183,0.497,29.97,2.01,-6.53
233252.827765,0.932,0.173,0.508,37.42,1.4,-3.2
233252.840986,0.913,0.191,0.509,35.4,-0.31,0.95
233252.846709,0.907,0.225,0.517,28.17,-1.83,4.55
233252.855546,0.889,0.285,0.532,18.04,-3.78,7.54
233252.867322,0.859,0.351,0.552,7.75,-5.37,11.23
233252.876343,0.828,0.389,0.562,1.98,-5.83,15.53
233252.886692,0.791,0.405,0.56,2.23,-5.62,19.56
233252.900294,0.751,0.411,0.543,3.45,-5.83,24.17
233252.907414,0.72,0.404,0.523,4.39,-5.37,28.44
233252.915654,0.699,0.387,0.511,7.66,-3.97,30.46
233252.927286,0.682,0.36,0.504,11.23,-2.5,30.15
233252.937891,0.671,0.323,0.499,8.67,-1.71,28.14
233252.946709,0.662,0.297,0.498,7.57,-0.37,25.3
233252.961272,0.663,0.268,0.496,8.42,1.04,21.45
233252.966920,0.666,0.231,0.496,9.31,2.47,16.91
233252.975752,0.657,0.193,0.502,9.92,3.88,11.63
233252.986055,0.647,0.129,0.529,10.07,5.22,5.98
233252.996431,0.653,0.113,0.558,7.84,5.86,0.31
233253.006611,0.661,0.102,0.592,2.87,5.74,-5.49
233253.020173,0.672,0.098,0.619,-1.31,5.49,-11.41
233253.026487,0.684,0.102,0.641,-5.28,4.43,-16.48
233253.036168,0.701,0.113,0.667,-9.0,2.93,-21.03
233253.046012,0.711,0.128,0.697,-9.49,1.4,-25.24
233253.056625,0.713,0.149,0.711,-9.34,-0.61,-28.29
233253.066693,0.719,0.18,0.729,-9.37,-2.17,-30.64
233253.081941,0.733,0.204,0.741,-8.09,-3.91,-32.29
233253.085882,0.744,0.22,0.758,-6.16,-5.71,-33.14
233253.097028,0.75,0.236,0.778,-3.78,-7.6,-32.93
233253.106117,0.764,0.238,0.791,-1.53,-9.4,-30.98
233253.116693,0.781,0.23,0.786,0.49,-10.8,-28.47
233253.131039,0.798,0.213,0.772,1.68,-11.69,-25.73
233253.137191,0.817,0.197,0.75,0.89,-12.7,-23.07
233253.146933,0.828,0.196,0.737,-2.81,-13.98,-20.29
233253.156388,0.836,0.207,0.726,-7.02,-14.92,-17.12
233253.168033,0.845,0.224,0.709,-11.57,-16.21,-13.55
233253.181504,0.846,0.247,0.693,-16.36,-17.91,-10.19
233253.186613,0.839,0.268,0.664,-20.23,-19.81,-6.87
233253.196278,0.83,0.283,0.638,-21.82,-21.42,-3.42
233253.207432,0.814,0.3,0.608,-21.67,-23.44,0.4
233253.220983,0.795,0.313,0.572,-21.09,-25.15,4.12
233253.227455,0.774,0.315,0.524,-20.02,-26.34,6.84
233253.236423,0.763,0.299,0.474,-16.69,-25.79,7.63
233253.247743,0.752,0.276,0.424,-10.9,-24.05,7.29
233253.257895,0.739,0.253,0.394,-4.06,-21.49,6.32
233253.270071,0.725,0.212,0.38,3.11,-18.1,4.61
233253.276151,0.722,0.15,0.376,9.58,-14.65,0.89
233253.286198,0.725,0.063,0.363,13.31,-11.47,-5.46
233253.297592,0.726,-0.008,0.357,12.94,-8.82,-13.7
233253.307285,0.737,-0.055,0.362,8.94,-7.05,-22.37
233253.317399,0.748,-0.066,0.384,2.53,-6.38,-31.62
233253.331703,0.753,-0.033,0.415,-5.1,-7.08,-40.62
233253.338360,0.765,0.016,0.455,-11.11,-8.48,-48.71
233253.347614,0.789,0.076,0.506,-14.53,-10.62,-55.42
233253.356713,0.808,0.164,0.567,-16.57,-14.47,-59.54
233253.371084,0.819,0.262,0.633,-17.21,-19.17,-61.34
233253.377353,0.839,0.346,0.673,-16.21,-24.32,-61.1
233253.386318,0.868,0.411,0.692,-12.15,-28.69,-60.0
233253.397961,0.824,0.571,1.067,-2.38,-32.44,-57.13
233253.410087,0.681,0.657,0.51,90.15,-28.9,-44.71
233253.416668,1.035,-0.013,0.512,53.68,-6.2,-22.86
233253.426553,1.254,0.244,0.575,-21.64,-52.74,-51.64
233253.436497,0.652,0.678,0.641,-20.2,-80.11,-58.2
233253.450817,0.68,0.463,0.625,23.35,-46.72,-29.3
233253.457011,0.841,0.221,0.546,39.98,-38.61,-19.14
233253.466359,0.83,0.242,0.551,23.41,-41.47,-21.33
233253.476517,0.763,0.284,0.531,13.55,-39.4,-21.79
233253.488364,0.767,0.237,0.473,11.63,-31.53,-15.08
233253.500393,0.77,0.205,0.415,5.58,-25.24,-9.22
233253.506726,0.781,0.203,0.39,-3.39,-18.52,-4.85
233253.515932,0.789,0.229,0.396,-11.99,-12.02,-2.5
233253.527652,0.789,0.283,0.425,-17.21,-6.07,-0.58
233253.536774,0.802,0.332,0.448,-17.03,-0.76,2.26
233253.550258,0.8,0.364,0.458,-14.5,3.17,4.61
233253.557591,0.795,0.381,0.465,-10.28,6.41,7.14
233253.566078,0.804,0.381,0.466,-4.52,9.58,9.52
233253.576003,0.809,0.366,0.466,0.64,11.84,10.65
233253.587733,0.804,0.347,0.46,4.27,13.25,11.57
233253.600010,0.813,0.318,0.457,6.04,14.5,12.27
233253.606950,0.822,0.286,0.459,5.34,14.8,11.51
233253.616374,0.83,0.264,0.46,1.77,14.31,9.25
233253.626269,0.834,0.262,0.464,-3.72,13.03,6.62
233253.637577,0.838,0.28,0.475,-9.34,11.17,4.39
233253.648535,0.847,0.314,0.478,-12.94,8.82,2.9
233253.660543,0.866,0.344,0.465,-14.71,6.53,1.83
233253.667496,0.893,0.361,0.444,-13.21,5.07,0.92
233253.677247,0.933,0.364,0.425,-8.42,4.15,0.95
233253.685828,0.98,0.349,0.42,-1.68,3.81,2.23
233253.696519,1.014,0.316,0.421,5.01,3.75,5.22
233253.706591,1.069,0.268,0.421,10.19,3.39,10.86
233253.720227,1.161,0.224,0.412,13.67,2.11,18.8
233253.727241,1.274,0.197,0.39,15.56,-1.04,29.57
233253.736159,1.396,0.183,0.364,16.14,-5.95,43.46
233253.747995,1.51,0.162,0.334,14.62,-12.7,59.11
233253.757831,1.569,0.16,0.331,10.86,-21.21,75.11
233253.770413,1.608,0.115,0.34,11.05,-29.05,89.82
233253.777827,1.657,0.003,0.296,13.46,-35.8,102.76
233253.786935,1.659,-0.115,0.209,12.24,-41.63,112.61
233253.800561,1.689,-0.204,0.109,8.42,-44.07,120.33
233253.806304,1.712,-0.265,0.028,4.46,-44.28,127.78
233253.816306,1.688,-0.341,-0.046,1.37,-44.47,130.25
233253.827771,1.659,-0.404,-0.106,-1.86,-40.35,124.3
233253.841372,1.606,-0.418,-0.131,-6.9,-33.08,114.66
233253.847217,1.495,-0.384,-0.13,-15.14,-24.41,104.19
233253.857766,1.398,-0.334,-0.125,-24.08,-12.7,91.16
233253.867512,1.309,-0.246,-0.116,-29.33,1.83,72.3
233253.880332,1.216,-0.157,-0.113,-26.86,17.94,52.19
233253.886924,1.135,-0.109,-0.11,-18.95,36.04,29.88
233253.897002,1.027,-0.098,-0.096,-8.64,55.09,4.94
233253.906357,0.909,-0.131,-0.086,4.0,75.81,-20.23
233253.916945,0.793,-0.159,-0.089,14.74,97.02,-44.31
233253.931620,0.672,-0.148,-0.066,17.76,116.12,-65.25
233253.937706,0.572,-0.123,-0.034,15.38,133.92,-84.17
233253.947940,0.472,-0.116,-0.007,11.47,150.76,-103.73
233253.960231,0.361,-0.123,0.028,5.65,166.51,-123.66
233253.966416,0.25,-0.135,0.039,-3.39,182.68,-142.8
233253.976827,0.143,-0.097,0.065,-14.28,198.19,-159.79
233253.990936,0.049,-0.049,0.114,-24.66,212.07,-171.82
233253.997151,-0.07,-0.021,0.146,-29.94,225.1,-183.54
233254.006776,-0.218,0.011,0.176,-34.36,238.93,-194.83
233254.019975,-0.388,0.068,0.229,-40.35,252.85,-204.23
233254.026483,-0.55,0.14,0.31,-45.81,266.64,-213.08
233254.036567,-0.698,0.207,0.385,-47.49,278.82,-223.7
233254.049729,-0.867,0.305,0.401,-42.88,290.11,-235.79
233254.056858,-1.08,0.423,0.404,-34.24,302.44,-245.8
233254.066464,-1.341,0.548,0.441,-21.73,318.19,-255.07
233254.081202,-1.56,0.573,0.547,-5.07,334.85,-262.92
233254.086241,-1.705,0.395,0.724,7.87,345.53,-274.06
233254.097162,-1.749,0.126,0.934,3.69,344.28,-291.27
233254.106947,-1.551,-0.047,1.087,-19.17,328.2,-305.55
233254.121118,-1.368,-0.078,1.063,-52.92,297.52,-313.09
233254.127004,-1.153,0.221,0.863,-86.43,256.42,-300.09
233254.138151,-1.069,0.697,0.835,-106.51,212.5,-265.14
233254.151711,-0.955,1.082,1.096,-94.3,179.11,-224.01
233254.158109,-0.637,1.315,1.578,-58.87,157.57,-177.43
233254.167263,-0.213,1.483,1.86,-11.29,128.94,-122.59
233254.179999,0.023,1.563,1.745,42.73,89.48,-57.62
233254.187629,0.075,1.264,1.582,97.02,61.77,3.88
233254.196412,-0.031,0.621,1.457,147.92,47.85,31.98
233254.207569,-0.231,0.004,1.346,169.32,37.84,30.67
233254.221430,-0.381,-0.368,1.195,140.2,31.1,21.21
233254.226790,-0.438,-0.397,1.108,75.05,27.41,9.55
