t_monotonic,ax,ay,az,gx,gy,gz
233221.556027,0.075,0.961,0.107,1.59,-5.77,-2.01
233221.569056,0.077,0.957,0.114,1.71,-5.62,-2.01
233221.574427,0.081,0.954,0.116,1.92,-5.71,-2.11
233221.584580,0.086,0.951,0.114,2.35,-5.83,-2.14
233221.594569,0.089,0.95,0.112,2.5,-5.95,-2.38
233221.605133,0.092,0.953,0.115,2.29,-6.29,-2.78
233221.615859,0.092,0.956,0.121,2.17,-6.78,-3.11
233221.625571,0.093,0.956,0.126,2.17,-7.39,-3.2
233221.638736,0.094,0.959,0.13,2.14,-8.27,-3.11
233221.645173,0.093,0.961,0.13,2.01,-9.22,-2.75
233221.654387,0.093,0.963,0.13,2.29,-10.41,-2.26
233221.664715,0.095,0.961,0.129,2.72,-11.54,-1.89
233221.675122,0.095,0.958,0.13,2.9,-12.45,-1.56
233221.685868,0.094,0.953,0.131,2.75,-13.34,-1.34
233221.698977,0.094,0.948,0.131,2.32,-14.16,-1.22
233221.704697,0.094,0.95,0.128,1.8,-14.74,-1.04
233221.714776,0.094,0.954,0.128,1.31,-15.17,-0.79
233221.724226,0.096,0.954,0.129,1.25,-15.81,-0.76
233221.734511,0.099,0.956,0.12,1.22,-16.24,-0.89
233221.744802,0.1,0.954,0.117,0.76,-16.39,-1.22
233221.758169,0.099,0.954,0.116,0.49,-16.27,-1.98
233221.764007,0.097,0.955,0.109,0.09,-15.96,-2.41
233221.773914,0.094,0.959,0.107,-0.52,-15.44,-2.81
233221.784309,0.093,0.963,0.109,-1.13,-14.86,-2.99
233221.794512,0.095,0.969,0.109,-1.43,-14.22,-3.11
233221.804913,0.096,0.973,0.109,-1.74,-13.46,-3.39
233221.818458,0.098,0.982,0.105,-2.14,-12.85,-3.51
233221.824385,0.098,0.995,0.102,-2.66,-12.3,-3.85
233221.833951,0.096,1.007,0.101,-3.23,-11.84,-4.15
233221.844194,0.095,1.02,0.102,-3.63,-11.44,-4.24
233221.854828,0.093,1.033,0.104,-3.94,-11.23,-4.0
233221.864988,0.09,1.04,0.106,-4.12,-10.99,-3.66
233221.878403,0.089,1.043,0.106,-3.85,-10.77,-3.05
233221.883915,0.091,1.041,0.109,-3.51,-10.74,-2.35
233221.893846,0.092,1.035,0.111,-3.08,-10.59,-1.65
233221.904638,0.099,1.024,0.11,-2.78,-10.5,-0.92
233221.914640,0.104,1.014,0.111,-2.78,-10.32,-0.18
233221.925309,0.112,1.003,0.109,-3.02,-10.22,0.37
233221.938571,0.118,0.996,0.107,-3.51,-10.04,0.92
233221.944037,0.119,0.992,0.108,-3.94,-10.1,1.37
233221.954268,0.122,0.988,0.109,-4.21,-10.22,2.11
233221.964649,0.123,0.983,0.111,-4.43,-10.47,2.69
233221.974841,0.122,0.975,0.109,-4.33,-10.32,3.27
233221.988293,0.123,0.969,0.108,-3.88,-10.19,4.0
233221.993929,0.125,0.968,0.104,-3.72,-9.95,4.36
233222.003770,0.128,0.961,0.102,-4.12,-9.52,4.49
233222.014660,0.125,0.955,0.099,-4.79,-8.91,4.3
233222.024182,0.122,0.954,0.099,-5.74,-8.12,4.06
233222.034558,0.12,0.958,0.106,-6.56,-7.35,3.85
233222.044879,0.116,0.964,0.112,-6.99,-6.56,3.85
233222.055221,0.113,0.967,0.118,-7.17,-5.86,4.03
233222.068250,0.113,0.969,0.12,-6.81,-5.28,4.06
233222.073559,0.116,0.968,0.121,-6.47,-4.61,4.0
233222.083829,0.116,0.966,0.121,-6.07,-4.03,3.63
233222.093983,0.116,0.965,0.124,-6.23,-3.45,3.05
233222.104166,0.118,0.962,0.132,-6.68,-2.87,2.47
233222.115117,0.123,0.96,0.137,-7.84,-2.29,1.62
233222.124751,0.125,0.961,0.145,-9.8,-1.8,0.61
233222.138135,0.128,0.961,0.158,-11.75,-1.19,-0.12
233222.143769,0.133,0.954,0.174,-13.09,-0.73,-0.79
233222.153885,0.141,0.944,0.187,-13.31,-0.55,-1.19
233222.164125,0.146,0.941,0.196,-13.46,-0.58,-1.34
233222.174484,0.151,0.933,0.211,-13.64,-1.01,-1.34
233222.184890,0.161,0.919,0.22,-12.6,-1.65,-1.4
233222.198287,0.177,0.901,0.222,-11.66,-2.38,-1.77
233222.203762,0.192,0.89,0.223,-11.47,-3.08,-2.72
233222.213713,0.201,0.881,0.222,-12.45,-4.12,-4.24
233222.224264,0.203,0.876,0.215,-14.01,-5.1,-6.01
233222.234728,0.204,0.877,0.212,-15.9,-5.58,-7.29
233222.245108,0.205,0.876,0.213,-17.55,-6.01,-8.27
233222.258292,0.204,0.876,0.214,-18.04,-6.29,-8.61
233222.264118,0.204,0.876,0.213,-17.58,-6.5,-7.75
233222.273838,0.206,0.874,0.213,-16.54,-6.59,-6.93
233222.284295,0.208,0.874,0.209,-15.11,-6.5,-6.07
233222.294742,0.205,0.878,0.201,-13.98,-6.41,-5.28
233222.305009,0.2,0.884,0.193,-13.15,-5.89,-4.73
233222.318390,0.195,0.895,0.187,-12.76,-5.04,-4.24
233222.324020,0.188,0.917,0.182,-12.94,-3.91,-3.88
233222.334028,0.182,0.943,0.184,-13.34,-2.81,-3.27
233222.344193,0.168,0.963,0.187,-12.7,-2.14,-2.35
233222.354996,0.148,0.985,0.181,-11.08,-1.62,-1.04
233222.367007,0.129,1.015,0.177,-9.4,-1.13,0.82
233222.378706,0.109,1.045,0.175,-7.72,-0.55,2.93
233222.385082,0.096,1.067,0.172,-5.98,-0.15,4.97
233222.394171,0.084,1.082,0.169,-4.18,0.21,6.26
